filter,preprocessed_raster,description
District: Denpasar Barat,Kec_Denpasar_Barat.tif,Poligon; batas politik di tingkat kabupaten.
District: Denpasar Selatan,Kec_Denpasar_Selatan.tif,Poligon; batas politik di tingkat kabupaten.
District: Denpasar Timur,Kec_Denpasar_Timur.tif,Poligon; batas politik di tingkat kabupaten.
District: Denpasar Utara,Kec_Denpasar_Utara.tif,Poligon; batas politik di tingkat kabupaten.
City: Denpasar,Kota_Denpasar.tif,Poligon; batas politik di tingkat kota.
Land Cover: Agricultural,LC_Den_Agricultural.tif,Poligon; penggunaan lahan pertanian.
Land Cover: Commercial,LC_Den_Commercial.tif,Poligon; penggunaan lahan komersial.
Land Cover: Open Space,LC_Den_Open_Space.tif,Poligon; penggunaan lahan ruang terbuka.
Land Cover: Industrial,LC_Den_Industrial.tif,Poligon; penggunaan lahan industri.
Land Cover: Slums,LC_Den_Slums.tif,Poligon; permukiman kumuh.
Disaster: Flooding Risk,LC_Den_Flooding_Risk.tif,Poligon; zona risiko banjir.
Land Cover: Residential 0-10,LC_Den_Res_0_10.tif,Poligon; penggunaan lahan perumahan. Nilai: 0-10
Land Cover: Residential 10-30,LC_Den_Res_10_30.tif,Poligon; penggunaan lahan perumahan. Nilai: 10-30
Land Cover: Residential 30-50,LC_Den_Res_30_50.tif,Poligon; penggunaan lahan perumahan. Nilai: 30-50
Land Cover: Residential 50-80,LC_Den_Res_50_80.tif,Poligon; penggunaan lahan perumahan. Nilai: 50-80
Land Cover: Residential 80-100,LC_Den_Res_80_100.tif,Poligon; penggunaan lahan perumahan. Nilai: 80-100
Land Cover: Residential no data,LC_Den_Res_no_data.tif,Poligon; penggunaan lahan perumahan. Nilai: data tidak
