layer,preprocessed_raster,description
Demographics: Population density,Denpasar_pop_2015.tif,Raster layer containing population number per pixel for the year 2015. Raw data was retrieved from Global Human Settlements (GHS) 2018.
Economy: Commercial,Den_commercial_final.tif,"Linear distance to the closest commercial facility in meters. Distances were estimated using R: A Language and Environment for Statistical Computing version 3.4.4 (2018-03-15) and the Package Raster: Geographic Data Analysis and Modeling version 2.6-7. Raw data retrived from: Spatial points with the location of commercial facilities, data from WB CPL dataset and OSM 
2017."
Economy: Nighttime lights,Denpasar_Night_Lights.tif,Raster layer containing night lights radiance per pixel for the year 2015. Raw data was retrieved from National Oceanic and Atmospheric Administration (NOAA) 2018.
Economy: Traditional markets,Den_traditional_markets.tif,"Linear distance to the closest traditional market in meters. Distances were estimated using R: A Language and Environment for Statistical Computing version 3.4.4 (2018-03-15) and the Package Raster: Geographic Data Analysis and Modeling version 2.6-7. Raw data provided by: Kota Denpasar DINAS Ekonomi, 2017."
Education: Elementary Schools,elementary_final.tif,Linear distance to the closest elementary school in meters. Distances were estimated using R: A Language and Environment for Statistical Computing version 3.4.4 (2018-03-15) and the Package Raster: Geographic Data Analysis and Modeling version 2.6-7. Raw data retrived from: Spatial points with the location of public elementary schools for Denpasar (WB CPL dataset ) and private and public elementary schools in the rest of the metropolitan area (OSM 2017).
Education: High Schools,high_school_final.tif,Linear distance to the closest high school in meters. Distances were estimated using R: A Language and Environment for Statistical Computing version 3.4.4 (2018-03-15) and the Package Raster: Geographic Data Analysis and Modeling version 2.6-7. Raw data retrived from: Spatial points with the location of high schools from WB CPL dataset.
Education: Higher Education,higher_edu_final.tif,Linear distance to the closest university in meters. Distances were estimated using R: A Language and Environment for Statistical Computing version 3.4.4 (2018-03-15) and the Package Raster: Geographic Data Analysis and Modeling version 2.6-7. Raw data retrived from: Spatial points with the location of universities for Denpasar (WB CPL dataset ) and private and public universities in the rest of the metropolitan area (OSM 2017).
Education: Junior High Schools,junior_high_final.tif,Linear distance to the closest junior high school in meters. Distances were estimated using R: A Language and Environment for Statistical Computing version 3.4.4 (2018-03-15) and the Package Raster: Geographic Data Analysis and Modeling version 2.6-7. Raw data retrived from: Spatial points with the location of public junior high schools for Denpasar (WB CPL dataset ) and private and public junior high schools in the rest of the metropolitan area (OSM 2017).
Education: Kindertardens,kindergardens_final.tif,Linear distance to the closest kindergarten in meters. Distances were estimated using R: A Language and Environment for Statistical Computing version 3.4.4 (2018-03-15) and the Package Raster: Geographic Data Analysis and Modeling version 2.6-7. Raw data retrived from: Spatial points with the location of kindergartens for Denpasar (WB CPL dataset ) and private and public kindergartens in the rest of the metropolitan area (OSM 2017).
Education: Vocational High,vocational_high.tif,Linear distance to the closest vocational high school in meters. Distances were estimated using R: A Language and Environment for Statistical Computing version 3.4.4 (2018-03-15) and the Package Raster: Geographic Data Analysis and Modeling version 2.6-7. Raw data retrived from: Spatial points with the location of vocational high schools from WB CPL dataset.
