layer,preprocessed_raster,description
Ekonomi: Bangunan komersial,Economy_Commercial.tif,"Linear distance to the closest commercial facility in meters. Distances were estimated using R: A Language and Environment for Statistical Computing version 3.4.4 (2018-03-15) and the Package Raster: Geographic Data Analysis and Modeling version 2.6-7. Raw data retrived from: Spatial points with the location of commercial facilities, data from WB CPL dataset and OSM 
2017."
Ekonomi: Lampu malam hari,Economy_Nighttime_lights.tif,Raster layer containing night lights radiance per pixel for the year 2015. Raw data was retrieved from National Oceanic and Atmospheric Administration (NOAA) 2018.
Ekonomi: Pasar tradisional,Economy_Traditional_markets.tif,"Linear distance to the closest traditional market in meters. Distances were estimated using R: A Language and Environment for Statistical Computing version 3.4.4 (2018-03-15) and the Package Raster: Geographic Data Analysis and Modeling version 2.6-7. Raw data provided by: Kota Denpasar DINAS Ekonomi, 2017."
Pendidikan: SD,Education_Elementary_schools.tif,Linear distance to the closest elementary school in meters. Distances were estimated using R: A Language and Environment for Statistical Computing version 3.4.4 (2018-03-15) and the Package Raster: Geographic Data Analysis and Modeling version 2.6-7. Raw data retrived from: Spatial points with the location of public elementary schools for Denpasar (WB CPL dataset ) and private and public elementary schools in the rest of the metropolitan area (OSM 2017).
Pendidikan: SMA,Education_High_schools.tif,Linear distance to the closest high school in meters. Distances were estimated using R: A Language and Environment for Statistical Computing version 3.4.4 (2018-03-15) and the Package Raster: Geographic Data Analysis and Modeling version 2.6-7. Raw data retrived from: Spatial points with the location of high schools from WB CPL dataset.
Pendidikan: Universitas/Perguruan Tinggi,Education_Higher_education.tif,Linear distance to the closest university in meters. Distances were estimated using R: A Language and Environment for Statistical Computing version 3.4.4 (2018-03-15) and the Package Raster: Geographic Data Analysis and Modeling version 2.6-7. Raw data retrived from: Spatial points with the location of universities for Denpasar (WB CPL dataset ) and private and public universities in the rest of the metropolitan area (OSM 2017).
Pendidikan: SMP,Education_Junior_high_schools.tif,Linear distance to the closest junior high school in meters. Distances were estimated using R: A Language and Environment for Statistical Computing version 3.4.4 (2018-03-15) and the Package Raster: Geographic Data Analysis and Modeling version 2.6-7. Raw data retrived from: Spatial points with the location of public junior high schools for Denpasar (WB CPL dataset ) and private and public junior high schools in the rest of the metropolitan area (OSM 2017).
Pendidikan: TK,Education_Kindertardens.tif,Linear distance to the closest kindergarten in meters. Distances were estimated using R: A Language and Environment for Statistical Computing version 3.4.4 (2018-03-15) and the Package Raster: Geographic Data Analysis and Modeling version 2.6-7. Raw data retrived from: Spatial points with the location of kindergartens for Denpasar (WB CPL dataset ) and private and public kindergartens in the rest of the metropolitan area (OSM 2017).
Pendidikan: SMK,Education_Vocational_high.tif,Linear distance to the closest vocational high school in meters. Distances were estimated using R: A Language and Environment for Statistical Computing version 3.4.4 (2018-03-15) and the Package Raster: Geographic Data Analysis and Modeling version 2.6-7. Raw data retrived from: Spatial points with the location of vocational high schools from WB CPL dataset.
Geography: MDPL (Ketinggian),Geography_Elevation.tif,Elevation in meters above the sea level. Elevation was computed with R: A Language and Environment for Statistical Computing version 3.4.4 (2018-03-15) and the Package elevatr: Access Elevation Data from Various APIs version 0.1.4. Data service from Amazon Web Services elevation tiles.
Geography: Lereng,Geography_Slope.tif,"Slope in values from 0 to 1. Slope was computed with R: A Language and Environment for Statistical Computing version 3.4.4 (2018-03-15) and  the Package Raster: Geographic Data Analysis and Modeling version 2.6-7. Specifically with the “terrain” function, which computes slope, aspect and other terrain characteristics from a raster with elevation data."
Kesehatan: Puskemas,Health_Clinics.tif,"Linear distance to the closest clinic in meters. Distances were estimated using R: A Language and Environment for Statistical Computing version 3.4.4 (2018-03-15) and the Package Raster: Geographic Data Analysis and Modeling version 2.6-7. Raw data retrieved from: Spatial points with the location of clinics, data from WB CPL dataset and OSM 2017."
Kesehatan: Rumah Sakit (jarak linier),Health_Hospitals.tif,"Linear distance to the closest hospital in meters. Distances were estimated using R: A Language and Environment for Statistical Computing version 3.4.4 (2018-03-15) and the Package Raster: Geographic Data Analysis and Modeling version 2.6-7. Raw data retrieved from: Spatial points with the location of hospitals, data from WB CPL dataset and OSM 2017."
"Kesehatan: Rumah sakit (waktu, tebakan terbaik)",Hospitals_isochrones_best_guess.tif,"Driving time to the closest hospital in minutes. Distances were estimated using R: A Language and Environment for Statistical Computing version 3.4.4 (2018-03-15), Package Raster: Geographic Data Analysis and Modeling version 2.6-7 and Google Distance Matrix API, for a typical weekday of October 2018. Raw data retrieved from: Spatial points with the location of hospitals, data from WB CPL dataset and OSM 2017."
"Kesehatan: Rumah sakit (waktu, dengan kemacetan)",Hospitals_isochrones_congestion.tif,"Driving time to the closest hospital in minutes. Distances were estimated using R: A Language and Environment for Statistical Computing version 3.4.4 (2018-03-15), Package Raster: Geographic Data Analysis and Modeling version 2.6-7 and Google Distance Matrix API, for rush hour (18:00) in a typical weekday of October 2018. Raw data retrieved from: Spatial points with the location of hospitals, data from WB CPL dataset and OSM 2017."
Demografi: Kepadatan penduduk,Population_Density.tif,Raster layer containing population number per pixel for the year 2015. Raw data was retrieved from Global Human Settlements (GHS) 2018.
Transportasi: Trans Sarbagita,Transit_Bus_Trans_Sarbagita.tif,Linear distance to the closest Trans Sarbagita shelter in meters. Distances were estimated using R: A Language and Environment for Statistical Computing version 3.4.4 (2018-03-15) and the Package Raster: Geographic Data Analysis and Modeling version 2.6-7. Raw data retrieved from: http://www.bali-backpacker.com/trans-sarbagita-bus-stop-halte-shelter/
Transportasi: Angkutan,Transit_Mini_bus_Angkutan.tif,"Linear distance to the closest mini bus (Angkutan) route in meters. Distances were estimated using R: A Language and Environment for Statistical Computing version 3.4.4 (2018-03-15) and the Package Raster: Geographic Data Analysis and Modeling version 2.6-7. Raw data retrieved from: Spatial lines with Angkutan routes, data from WB CPL dataset and OSM 2017."
Layanan perkotaan: Pemakaman,Urban_services_Cemeteries.tif,"Linear distance to the closest cemetery in meters. Distances were estimated using R: A Language and Environment for Statistical Computing version 3.4.4 (2018-03-15) and the Package Raster: Geographic Data Analysis and Modeling version 2.6-7. Raw data retrieved from: Spatial points with the location of cemeteries, data from WB CPL dataset and OSM 2017."
Layanan perkotaan: Pusat budaya,Urban_services_Cultural_centers.tif,"Linear distance to the closest cultural center in meters. Distances were estimated using R: A Language and Environment for Statistical Computing version 3.4.4 (2018-03-15) and the Package Raster: Geographic Data Analysis and Modeling version 2.6-7. Raw data retrieved from: Point coordinates with the location of museums, landmarks, monuments, and tourist attractions, data from OSM 2017."
Layanan perkotaan: Stasiun api,Urban_services_Fire_stations.tif,"Linear distance to the closest fire station in meters. Distances were estimated using R: A Language and Environment for Statistical Computing version 3.4.4 (2018-03-15) and the Package Raster: Geographic Data Analysis and Modeling version 2.6-7. Raw data retrived from: Spatial points with the location of fire stations, data from OSM 2017."
Layanan perkotaan: Kantor pemerintahan,Urban_services_Goverment_offices.tif,"Linear distance to the closest government offices in meters. Distances were estimated using R: A Language and Environment for Statistical Computing version 3.4.4 (2018-03-15) and the Package Raster: Geographic Data Analysis and Modeling version 2.6-7. Raw data retrieved from: Spatial points with the location of government offices, data from WB CPL dataset and OSM 2017."
Lingkungan: Ruang terbuka hijau,Urban_services_Green_open_space.tif,"Linear distance to the closest green open space in meters. Distances were estimated using R: A Language and Environment for Statistical Computing version 3.4.4 (2018-03-15) and the Package Raster: Geographic Data Analysis and Modeling version 2.6-7. Raw data retrived from: Spatial points with the location of urban parks, gardens, forests, and grasslands data from WB CPL dataset and OSM 2017."
Layanan perkotaan: Perpustakaan,Urban_services_Libraries.tif,"Linear distance to the closest library in meters. Distances were estimated using R: A Language and Environment for Statistical Computing version 3.4.4 (2018-03-15) and the Package Raster: Geographic Data Analysis and Modeling version 2.6-7. Raw data retrived from: Spatial points with the location of libraries, data from OSM 2017."
Layanan perkotaan: Tempat beribadah,Urban_services_Places_of_worship.tif,"Linear distance to the closest place of worship in meters. Distances were estimated using R: A Language and Environment for Statistical Computing version 3.4.4 (2018-03-15) and the Package Raster: Geographic Data Analysis and Modeling version 2.6-7. Raw data retrived from: Spatial points with the location of places of worship, data from WB CPL dataset."
Layanan perkotaan: Pos polisi,Urban_services_Police_stations.tif,"Linear distance to the closest police station in meters. Distances were estimated using R: A Language and Environment for Statistical Computing version 3.4.4 (2018-03-15) and the Package Raster: Geographic Data Analysis and Modeling version 2.6-7. Raw data retrived from: Spatial points with the location of police stations, data from OSM 2017."
