filter,preprocessed_raster,description
District: Banyumanik,Kec_Semarang_Banyumanik.tif,Polygon; political boundary at district level.
District: Barat,Kec_Semarang_Barat.tif,Polygon; political boundary at district level.
District: Candisari,Kec_Semarang_Candisari.tif,Polygon; political boundary at district level.
District: Gayamsari,Kec_Semarang_Gayamsari.tif,Polygon; political boundary at district level.
District: Genuk,Kec_Semarang_Genuk.tif,Polygon; political boundary at district level.
District: Gunung Pati,Kec_Semarang_Gunung_Pati.tif,Polygon; political boundary at district level.
District: Mijen,Kec_Semarang_Mijen.tif,Polygon; political boundary at district level.
District: Mungkur,Kec_Semarang_Mungkur.tif,Polygon; political boundary at district level.
District: Ngaliyan,Kec_Semarang_Ngaliyan.tif,Polygon; political boundary at district level.
District: Pedurungan,Kec_Semarang_Pedurungan.tif,Polygon; political boundary at district level.
District: Selatan,Kec_Semarang_Selatan.tif,Polygon; political boundary at district level.
District: Tembalang,Kec_Semarang_Tembalang.tif,Polygon; political boundary at district level.
District: Tengah,Kec_Semarang_Tengah.tif,Polygon; political boundary at district level.
District: Timur,Kec_Semarang_Timur.tif,Polygon; political boundary at district level.
District: Tugu,Kec_Semarang_Tugu.tif,Polygon; political boundary at district level.
District: Utara,Kec_Semarang_Utara.tif,Polygon; political boundary at district level.
City: Semarang,Kota_Semarang.tif,Polygon; political boundary at city level.
Land Cover: Agricultural,LC_Sem_Agricultural.tif,Polygon; agricultural land use.
Land Cover: Commercial,LC_Sem_Commercial.tif,Polygon; commercial land use.
Land Cover: Open Space,LC_Sem_Open_Space.tif,Polygon; open space land use.
Land Cover: Industrial,LC_Sem_Industrial.tif,Polygon; industrial land use.
Land Cover: Residential 0-10,LC_Sem_Res_0_10.tif,Polygon; residential land use. Value: 0-10
Land Cover: Residential 10-30,LC_Sem_Res_10_30.tif,Polygon; residential land use. Value: 10-30
Land Cover: Residential 30-50,LC_Sem_Res_30_50.tif,Polygon; residential land use. Value: 30-50
Land Cover: Residential 50-80,LC_Sem_Res_50_80.tif,Polygon; residential land use. Value: 50-80
Land Cover: Residential 80-100,LC_Sem_Res_80_100.tif,Polygon; residential land use. Value: 80-100
Land Cover: Residential no data,LC_Sem_Res_no_data.tif,Polygon; residential land use. Value: no data
Land Use: Residential High Density,Sem_Res_high_density.tif,Polygon; high density residential.
Land Use: Residential Low Density,Sem_Res_low_density.tif,Polygon; low density residential.
Land Use: Residential Medium Density,Sem_Res_med_density.tif,Polygon; medium density residential.
Disaster: Subsidence (00-01 cm/y),Land_subsidence_00_to_01.tif,Polygon; land subsidence zones.
Disaster: Subsidence (01-04 cm/y),Land_subsidence_01_to_04.tif,Polygon; land subsidence zones.
Disaster: Subsidence (04-06 cm/y),Land_subsidence_04_to_06.tif,Polygon; land subsidence zones.
Disaster: Subsidence (06-08 cm/y),Land_subsidence_06_to_08.tif,Polygon; land subsidence zones.
Disaster: Subsidence (08-10 cm/y),Land_subsidence_08_to_10.tif,Polygon; land subsidence zones.
Disaster: Subsidence (10-12 cm/y),Land_subsidence_10_to_12.tif,Polygon; land subsidence zones.
Disaster: Subsidence (12-more cm/y),Land_subsidence_12_or_more.tif,Polygon; land subsidence zones.
Disaster: Landslides (risk-free),LC_Sem_Landslide_free.tif,Polygon; landslides risk-free zones.
Disaster: Landslides,LC_Sem_Landslide.tif,Polygon; landslides zones.
Disaster: Flooding Risk,LC_Sem_Flooding_Risk.tif,Polygon; flooding risk zones.
Disaster: Flooding Risk (risk-free),LC_Sem_Flooding_Risk_free.tif,Polygon; flooding risk-free zones.
